Method,Source Type,Runs,Sequences,Seeds,Mean End-to-End Seconds,Median End-to-End Seconds,Min End-to-End Seconds,Max End-to-End Seconds,Mean Failure Percent,GPU,Hardware Consistency,Claim Boundary
Semantic,local-rerun,30,10,0;1;2,37.903,36.617,24.467,68.309,1.497,NVIDIA GeForce RTX 4090 (CUDA device 1),clean-single-gpu,DYN-19 end-to-end wall time on full sequences; not directly comparable to published per-stage runtime rows.
MapMatched,local-rerun,30,10,0;1;2,34.356,34.957,23.923,45.442,2.046,NVIDIA GeForce RTX 4090 (CUDA device 1),clean-single-gpu,DYN-19 end-to-end wall time on full sequences; not directly comparable to published per-stage runtime rows.
T+M,local-rerun,30,10,0;1;2,48.584,48.338,30.715,85.632,0.007,NVIDIA GeForce RTX 4090 (CUDA device 1),clean-single-gpu,DYN-19 end-to-end wall time on full sequences; not directly comparable to published per-stage runtime rows.
T+F+M,local-rerun,30,10,0;1;2,48.562,50.995,31.530,68.000,2.069,NVIDIA GeForce RTX 4090 (CUDA device 1),clean-single-gpu,DYN-19 end-to-end wall time on full sequences; not directly comparable to published per-stage runtime rows.
T+F+R+M,local-rerun,30,10,0;1;2,48.105,50.157,30.497,63.764,0.719,NVIDIA GeForce RTX 4090 (CUDA device 1),clean-single-gpu,DYN-19 end-to-end wall time on full sequences; not directly comparable to published per-stage runtime rows.
Full: T+F+R+A+M,local-rerun,30,10,0;1;2,47.750,46.826,29.617,71.447,0.147,NVIDIA GeForce RTX 4090 (CUDA device 1),clean-single-gpu,DYN-19 end-to-end wall time on full sequences; not directly comparable to published per-stage runtime rows.
Full-NoM: T+F+R+A,local-rerun,30,10,0;1;2,49.202,51.090,30.691,68.699,0.179,NVIDIA GeForce RTX 4090 (CUDA device 1),clean-single-gpu,DYN-19 end-to-end wall time on full sequences; not directly comparable to published per-stage runtime rows.
