Method,Source Type,Cells,Seeds,tum_walking_xyz ATE Mean cm,tum_walking_xyz ATE Std cm,tum_walking_halfsphere ATE Mean cm,tum_walking_halfsphere ATE Std cm,tum_walking_static ATE Mean cm,tum_walking_static ATE Std cm,tum_sitting_halfsphere ATE Mean cm,tum_sitting_halfsphere ATE Std cm,bonn_balloon ATE Mean cm,bonn_balloon ATE Std cm,bonn_crowd ATE Mean cm,bonn_crowd ATE Std cm,bonn_crowd2 ATE Mean cm,bonn_crowd2 ATE Std cm,bonn_crowd3 ATE Mean cm,bonn_crowd3 ATE Std cm,bonn_person_tracking ATE Mean cm,bonn_person_tracking ATE Std cm,bonn_person_tracking2 ATE Mean cm,bonn_person_tracking2 ATE Std cm,Overall Mean ATE cm,Overall Median ATE cm,Mean Failure Percent,Route Certificates,Comparison Context,Failure Case Context,Claim Boundary
Semantic,local-rerun,30,0;1;2,2.341,0.015,3.379,0.243,0.737,0.026,24.175,15.313,3.388,0.167,4.358,0.019,42.500,38.969,7.098,2.107,4.434,0.372,8.780,0.266,10.119,4.348,1.497,vacuous=30,Reference configuration.,Reference configuration.,Three-seed full-sequence local DYN-19 tracking; no protocol-matched external ranking.
MapMatched,local-rerun,30,0;1;2,2.103,0.038,3.423,0.096,0.790,0.016,36.775,6.149,3.451,0.160,3.246,0.025,6.347,1.078,4.210,0.174,4.681,0.256,8.897,3.040,7.392,3.824,2.046,vacuous=30,vs Semantic mean 10.119 -> 7.392 cm; paired median gain 0.211 cm; W/T/L 18/0/12,bonn_crowd2: 42.500 -> 6.347 cm,Three-seed full-sequence local DYN-19 tracking; no protocol-matched external ranking.
Full: T+F+R+A+M,local-rerun,30,0;1;2,2.148,0.040,3.609,0.071,0.730,0.028,4.864,0.983,3.170,0.227,3.216,0.071,11.080,11.922,5.756,2.544,5.517,1.101,9.209,1.873,4.930,3.640,0.147,pass=30,vs Semantic mean 10.119 -> 4.930 cm; paired median gain 0.213 cm; W/T/L 19/0/11; vs MapMatched mean 7.392 -> 4.930 cm; paired median gain 0.016 cm; W/T/L 16/0/14,bonn_crowd2: 42.500 -> 11.080 cm; MapMatched failure: tum_sitting_halfsphere: 36.775 -> 4.864 cm,Three-seed full-sequence local DYN-19 tracking; no protocol-matched external ranking.
