Configuration,w/xyz ATE,w/xyz Std,w/half ATE,w/half Std,Avg. ATE
Semantic,2.3413,0.0126,3.3792,0.1985,2.8603
MapMatched,2.1032,0.0308,3.4234,0.0782,2.7633
T+M,2.0766,0.0422,2.9385,0.0501,2.5075
T+F+M,2.0961,0.0540,3.0029,0.1072,2.5495
T+F+R+M,2.1511,0.0439,3.3634,0.1034,2.7572
T+F+R+A+M (Full),2.1476,0.0324,3.6092,0.0581,2.8784
T+F+R+A+NoM,2.1551,0.0046,3.5929,0.0484,2.8740
