sequence,metric,semantic_dyn19_ate_cm,mapmatched_dyn19_ate_cm,full_dyn19_ate_cm,guarded_dyn18_ate_cm,strict_dyn18_ate_cm,dypho_published_ate_cm,local_evidence,external_evidence,comparison_boundary
tum_walking_xyz,ATE RMSE,2.3413,2.1032,2.1476,2.1187,2.1009,1.6,DYN-19 ten-sequence matrix; three-seed sequence mean,DyPho-SLAM Table I; published reference,External value is not a protocol-matched rerun and is not merged into local aggregates
tum_walking_halfsphere,ATE RMSE,3.3792,3.4234,3.6092,3.3441,3.3500,2.6,DYN-19 ten-sequence matrix; three-seed sequence mean,DyPho-SLAM Table I; published reference,External value is not a protocol-matched rerun and is not merged into local aggregates
tum_walking_static,ATE RMSE,0.7370,0.7901,0.7297,0.8429,0.7449,0.6,DYN-19 ten-sequence matrix; three-seed sequence mean,DyPho-SLAM Table I; published reference,External value is not a protocol-matched rerun and is not merged into local aggregates
tum_sitting_halfsphere,ATE RMSE,24.1754,36.7750,4.8639,7.3535,7.1821,1.6,DYN-19 ten-sequence matrix; three-seed sequence mean,DyPho-SLAM Table I; published reference,External value is not a protocol-matched rerun and is not merged into local aggregates
