phase,config,config_label,sequence,successful_runs,ate_rmse_cm,rpe_translation_cm,failure_rate_percent,runtime_seconds,recovery_audit_pixels_mean,recovery_mapping_leak_pixels_mean,certificate_passes,certificate_vacuous,certificate_failures,source_commit,release_id
main,dyn19_semantic,Semantic,bonn_crowd2,3,42.499866667,5.288966667,0.000000000,38.814233317,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,bonn_crowd3,3,7.098433333,3.099933333,0.000000000,35.517897701,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,bonn_person_tracking,3,4.433566667,7.514766667,0.000000000,28.903344091,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,bonn_person_tracking2,3,8.779833333,6.300266667,0.000000000,39.752204204,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,tum_sitting_halfsphere,3,24.175400000,2.542433333,11.049037867,44.275316489,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,tum_walking_halfsphere,3,3.379200000,1.385300000,0.000000000,48.548969652,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,tum_walking_static,3,0.737000000,0.587300000,0.000000000,30.355562316,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,tum_walking_xyz,3,2.341333333,1.168900000,0.000000000,47.186719297,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),bonn_balloon,3,3.092333333,4.219633333,0.000000000,31.098445322,390157.000,390157.000,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),bonn_crowd,3,3.177133333,2.381633333,1.725997867,55.475264611,1982639.000,1982639.000,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),bonn_crowd2,3,4.845166667,3.775566667,0.000000000,52.589609287,571981.333,571981.333,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),bonn_crowd3,3,4.190966667,2.608966667,0.000000000,49.827570208,1815718.333,1815718.333,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),bonn_person_tracking,3,4.636000000,7.544100000,0.000000000,37.698713539,187998.000,187998.000,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),bonn_person_tracking2,3,8.402766667,6.391700000,0.000000000,35.001401213,163902.333,163902.333,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),tum_sitting_halfsphere,3,5.725400000,1.786166667,0.062073233,67.389697365,15532356.667,15532356.667,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),tum_walking_halfsphere,3,3.592866667,1.343300000,0.000000000,64.664702895,439557.000,439557.000,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),tum_walking_static,3,0.786600000,0.611133333,0.000000000,42.454920940,8619554.667,8619554.667,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),tum_walking_xyz,3,2.155100000,1.150233333,0.000000000,55.820421335,559623.000,559623.000,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_map,T+F+M,bonn_balloon,3,3.746833333,3.904366667,0.000000000,31.709274522,5646324.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_map,T+F+M,bonn_crowd,3,3.218566667,2.331300000,2.409205333,53.817177983,12256867.667,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_map,T+F+M,bonn_crowd2,3,3.655866667,3.424566667,0.000000000,53.051447114,6647502.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_map,T+F+M,bonn_crowd3,3,4.182966667,2.806633333,0.000000000,48.594945471,10828003.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_map,T+F+M,bonn_person_tracking,3,4.315933333,7.590600000,0.000000000,37.347500268,2934109.667,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_map,T+F+M,bonn_person_tracking2,3,10.700333333,6.599066667,0.000000000,36.146164487,3973237.667,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_map,T+F+M,tum_sitting_halfsphere,3,28.057600000,2.475800000,18.280571067,61.047056685,14394825.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_map,T+F+M,tum_walking_halfsphere,3,3.002933333,1.286400000,0.000000000,63.774074869,6830973.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_map,T+F+M,tum_walking_static,3,0.795366667,0.571500000,0.000000000,40.993013488,12487435.667,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_map,T+F+M,tum_walking_xyz,3,2.096100000,1.137366667,0.000000000,59.142678754,7505072.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_risk_map,T+F+R+M,bonn_balloon,3,3.743366667,3.815100000,0.000000000,31.592725226,206810.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_risk_map,T+F+R+M,bonn_crowd,3,3.145566667,2.341333333,1.042790400,52.987870094,1977502.667,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_risk_map,T+F+R+M,bonn_crowd2,3,3.596700000,3.519733333,0.000000000,52.182122361,535621.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_risk_map,T+F+R+M,bonn_crowd3,3,4.261433333,2.815333333,0.000000000,47.896517323,1771819.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_risk_map,T+F+R+M,bonn_person_tracking,3,5.197133333,7.582266667,0.000000000,37.338922612,217891.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_risk_map,T+F+R+M,bonn_person_tracking2,3,9.953133333,6.457200000,0.000000000,36.296645087,232748.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_risk_map,T+F+R+M,tum_sitting_halfsphere,3,12.914866667,2.297300000,6.145251400,61.696366238,12555208.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_risk_map,T+F+R+M,tum_walking_halfsphere,3,3.363433333,1.315466667,0.000000000,63.429577415,652487.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_risk_map,T+F+R+M,tum_walking_static,3,0.742933333,0.562700000,0.000000000,42.530930850,7796250.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_flow_risk_map,T+F+R+M,tum_walking_xyz,3,2.151066667,1.155733333,0.000000000,55.096542060,286667.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_map,T+M,bonn_balloon,3,3.763200000,3.850666667,0.000000000,34.273210624,17626595.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_map,T+M,bonn_crowd,3,3.322133333,2.347400000,0.071916600,51.686403930,39342614.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_map,T+M,bonn_crowd2,3,4.185866667,3.519866667,0.000000000,53.915501731,35081633.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_map,T+M,bonn_crowd3,3,4.537900000,2.759400000,0.000000000,46.552824808,38686648.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_map,T+M,bonn_person_tracking,3,4.537933333,7.573166667,0.000000000,37.101581454,18710031.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_map,T+M,bonn_person_tracking2,3,9.687233333,6.521933333,0.000000000,35.427563173,17376432.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_map,T+M,tum_sitting_halfsphere,3,2.689600000,1.145700000,0.000000000,60.096887061,65419936.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_map,T+M,tum_walking_halfsphere,3,2.938500000,1.228366667,0.000000000,62.505265160,34521862.667,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_map,T+M,tum_walking_static,3,0.850866667,0.549033333,0.000000000,39.633311188,22592453.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_temporal_map,T+M,tum_walking_xyz,3,2.076600000,1.129266667,0.000000000,64.643532834,24062359.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
